Status,Date,Time
Open,2022-04-22,12:35:04
Open,2022-04-25,07:35:04
Open,2022-04-25,07:45:07
Open,2022-04-25,09:00:09
Open,2022-04-25,10:00:06
Open,2022-04-26,07:00:08
Close,2022-04-26,07:50:05
Open,2022-04-26,08:05:07
Close,2022-04-26,08:45:09
Open,2022-04-26,10:30:05
Open,2022-04-26,10:45:05
Open,2022-04-26,11:05:05
Open,2022-04-26,12:05:08
Open,2022-04-26,13:00:08
Close,2022-04-26,13:40:05
Open,2022-04-26,14:00:07
Close,2022-04-26,14:10:04
Open,2022-04-26,16:00:06
Open,2022-04-28,07:30:07
Open,2022-04-28,08:15:05
Open,2022-04-28,08:20:05
Open,2022-04-28,08:35:06
Open,2022-04-28,09:00:07
Open,2022-04-28,10:25:06
Open,2022-04-28,11:10:05
Open,2022-04-28,13:15:05
Open,2022-04-29,08:05:05
Open,2022-04-29,08:25:05
Open,2022-04-29,16:30:06
